Image 1: x=171, y=526, width=261, height=294
Image 2: x=420, y=156, width=314, height=258
Image 3: x=931, y=635, width=60, height=123
Image 4: x=615, y=427, width=200, height=293
Image 5: x=33, y=66, width=316, height=308
Image 6: x=736, y=220, width=194, height=203
Image 7: x=881, y=894, width=118, height=93
Image 8: x=457, y=788, width=212, height=198
Image 9: x=630, y=31, width=127, height=64
Image 10: x=262, y=845, width=100, height=141
Image 11: x=50, y=475, width=121, height=287
Image 12: x=691, y=730, width=215, height=149
Image 13: x=474, y=551, width=129, height=234
Image 14: x=853, y=39, width=141, height=175
Image 15: x=86, y=790, width=83, height=154
Image 16: x=782, y=906, width=90, height=82
Image 17: x=284, y=395, width=108, height=127
Image 18: x=482, y=452, width=80, height=55
